Top_Attractions,Best_Time_To_Visit,Average_Temperature_C,Altitude_m,Popular_For,Nearest_Airport,Nearest_Railway_Station,Estimated_Budget_INR
Solang Valley,Oct-Jun,10,2050,Adventure; Snow,Kullu Manali Airport,Joginder Nagar,15000
Rohtang Pass,May-Oct,8,3978,Snow; Scenic,Kullu Manali Airport,Joginder Nagar,16000
Hadimba Temple,Mar-Jun,15,2050,Spiritual; Heritage,Kullu Manali Airport,Joginder Nagar,12000
Mall Road Shimla,Mar-Jun,15,2200,Shopping; Hill Station,Shimla Airport,Shimla,12000
Jakhoo Temple,Mar-Jun,15,2455,Spiritual,Shimla Airport,Shimla,10000
McLeodganj,Mar-Jun,18,1457,Tibetan Culture,Kangra Airport,Pathankot,11000
Dal Lake Dharamshala,Mar-Jun,18,1775,Nature; Lake,Kangra Airport,Pathankot,10000
Khajjiar,Apr-Jun,17,1970,Meadows; Scenic,Kangra Airport,Pathankot,10000
Triund Trek,Mar-Jun,16,2828,Trekking,Kangra Airport,Pathankot,9000
Kasol,Mar-Jun,14,1580,Backpacking; Nature,Kullu Manali Airport,Joginder Nagar,10000
Bir Billing,Mar-Jun,18,1525,Paragliding,Kangra Airport,Pathankot,11000
Kullu Valley,Mar-Jun,20,1230,Nature; River,Kullu Manali Airport,Joginder Nagar,13000
Spiti Valley,May-Sep,3,4270,High Altitude; Adventure,Kullu Manali Airport,Shimla,22000
Chail Palace,Mar-Jun,17,2250,Heritage,Shimla Airport,Kalka,9500
Kasauli,Mar-Jun,20,1927,Relaxation,Chandigarh Airport,Kalka,8500
Palampur,Mar-Jun,21,1220,Tea Gardens,Kangra Airport,Pathankot,9000
Manikaran Sahib,Oct-Jun,16,1760,Spiritual,Kullu Manali Airport,Joginder Nagar,9500
Tirthan Valley,Mar-Jun,15,1600,Offbeat; River,Kullu Manali Airport,Joginder Nagar,11000
Narkanda,Dec-Mar,8,2708,Skiing,Shimla Airport,Shimla,12000
Sangla Valley,May-Sep,13,2620,Scenic; Adventure,Shimla Airport,Shimla,14000
