Top_Attractions,Best_Time_To_Visit,Average_Temperature_C,Altitude_m,Popular_For,Nearest_Airport,Nearest_Railway_Station,Estimated_Budget_INR
Kempty Falls,Mar-Jun,18,2005,Waterfalls,Jolly Grant Airport,Dehradun,9000
Naini Lake,Mar-Jun,16,2084,Lakes; Boating,Pantnagar Airport,Kathgodam,9500
Laxman Jhula,Oct-Apr,24,372,Spirituality,Jolly Grant Airport,Haridwar,8000
Har Ki Pauri,Oct-Mar,25,314,Pilgrimage,Jolly Grant Airport,Haridwar,7000
Auli Ski Resort,Dec-Mar,5,2800,Skiing; Snow,Jolly Grant Airport,Haridwar,16000
Kedarnath Temple,May-Jun,5,3584,Pilgrimage; Trekking,Jolly Grant Airport,Rishikesh,15000
Badrinath Temple,May-Jun,7,3133,Pilgrimage,Jolly Grant Airport,Rishikesh,14000
Jim Corbett National Park,Nov-Jun,25,385,Wildlife; Safari,Pantnagar Airport,Ramnagar,14000
Valley of Flowers,Jul-Sep,12,3658,Trekking; Nature,Jolly Grant Airport,Rishikesh,17000
Chopta,Apr-Jun,10,2680,Trekking,Jolly Grant Airport,Rishikesh,12000
Ranikhet,Mar-Jun,17,1869,Peaceful Hills,Pantnagar Airport,Kathgodam,9000
Almora,Mar-Jun,17,1646,Culture,Pantnagar Airport,Kathgodam,9000
Tehri Lake,Mar-Jun,22,770,Water Sports,Jolly Grant Airport,Rishikesh,10000
Pithoragarh,Mar-Jun,15,1514,Adventure,Pantnagar Airport,Tanakpur,11000
Bhimtal Lake,Mar-Jun,18,1370,Lakes,Pantnagar Airport,Kathgodam,8500
Mukteshwar,Mar-Jun,14,2286,Scenic Views,Pantnagar Airport,Kathgodam,9500
Harsil Valley,Apr-Jun,12,2620,Offbeat; Nature,Jolly Grant Airport,Rishikesh,13000
Munsiyari,May-Sep,10,2298,Mountain Views,Pantnagar Airport,Tanakpur,15000
Yamunotri Temple,May-Jun,6,3293,Pilgrimage,Jolly Grant Airport,Rishikesh,14000
Gangotri Temple,May-Jun,7,3048,Pilgrimage,Jolly Grant Airport,Rishikesh,14000
